CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark,IDNUM,SEX,TETRIS-FLOW,FLOWGAME-FLOW,COPTER-FLOW,TETRIS-FLOW2,FLOWGAME-FLOW2,COPTER-FLOW2,TETRIS-EXPERTISE,FLOW-EXPERTISE,COPTER-EXPERTISE,TETRIS-OVERESTIMATION,FLOW-OVERESTIMATION,COPTER-OVERESTIMATION,IN-FLOW,IN-FLOW2,EXPERTISE,OVERESTIMATION
0.02462805,0.00188905,3.93325114,3.91233134,0.05169512,0.53282654,-0.05844005,0.02659136,0.10057779,-0.01913214,0.03971883,0.02394508,-0.00544202,3.41162157,-0.00591032,3.77637601,0.04967628,-0.05713114,0.01843334,0.01719746,0.00290668,0.03645600,0.00407539,0.01671372,-0.00230318,-0.00016114,-0.01122509,0.00365985,-0.01421725,0.02481300,0.00512906,0.00289289,0.00746929,-0.01298656,-0.01385953,0.00815683,-0.01905722,-0.03730808,-0.02173885,-0.01360978,-0.05781259,0.02256173,-0.05011097,0.00636121,0.04075032,-0.01501051,-0.03345806,-0.04672595,0.00031749,-0.00618416,-0.07268283,-0.05372179,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.02632289,0.00319040,3.73824191,3.74204493,0.04902462,0.51437789,-0.05829974,0.02763311,0.10560658,-0.01594912,0.04221419,0.02673803,-0.00334162,3.20067310,-0.00638594,3.76985908,0.05266418,-0.05587272,0.01984474,0.02028969,0.00565107,0.03949354,0.00587242,0.01744143,-0.00212317,0.00063297,-0.00982933,0.00665607,-0.01211551,0.02877151,0.00690716,0.00434405,0.01025302,-0.01131880,-0.01143540,0.01047989,-0.01735414,-0.03686545,-0.01843400,-0.01093132,-0.05618621,0.02371934,-0.04945379,0.00876094,0.04607733,-0.01290251,-0.03151330,-0.04422340,0.00605965,-0.00361314,-0.07259838,-0.05281700,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.02792524,0.00439028,3.55931926,3.58802295,0.04526398,0.49511600,-0.05800197,0.02854909,0.11042432,-0.01230283,0.04496257,0.02937492,-0.00135172,3.00606084,-0.00663588,3.75836754,0.05588709,-0.05481598,0.02115398,0.02352869,0.00875840,0.04250104,0.00753096,0.01838274,-0.00198886,0.00150954,-0.00815074,0.00982236,-0.01020650,0.03264628,0.00918429,0.00605219,0.01292874,-0.00964857,-0.00907875,0.01273540,-0.01540893,-0.03606442,-0.01509873,-0.00828397,-0.05429873,0.02518108,-0.04889391,0.01107155,0.05119422,-0.01089570,-0.02927429,-0.04133894,0.01160423,-0.00102231,-0.07251266,-0.05180815,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.02937671,0.00545201,3.39160728,3.44376278,0.04025516,0.47484684,-0.05770670,0.02929247,0.11502351,-0.00842877,0.04764251,0.03183506,0.00044852,2.82382894,-0.00668684,3.74146247,0.05941711,-0.05398713,0.02230435,0.02676264,0.01198746,0.04529195,0.00899852,0.01948450,-0.00195013,0.00235735,-0.00635859,0.01307694,-0.00856400,0.03633527,0.01162975,0.00770068,0.01529959,-0.00815741,-0.00696597,0.01473617,-0.01348713,-0.03513378,-0.01194449,-0.00584643,-0.05231106,0.02668895,-0.04858425,0.01309825,0.05591599,-0.00916683,-0.02701610,-0.03835558,0.01675951,0.00140588,-0.07256196,-0.05089247,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03064337,0.00637254,3.23005581,3.30295920,0.03396529,0.45351210,-0.05756552,0.02984780,0.11945809,-0.00453085,0.05001995,0.03413467,0.00202667,2.64925098,-0.00658577,3.72009325,0.06327405,-0.05336460,0.02327389,0.02987997,0.01513324,0.04776395,0.01026330,0.02067413,-0.00202422,0.00308992,-0.00463559,0.01633340,-0.00721110,0.03980633,0.01396317,0.00904342,0.01726539,-0.00698536,-0.00521328,0.01636781,-0.01181561,-0.03435198,-0.00914938,-0.00372806,-0.05034646,0.02804616,-0.04860557,0.01471852,0.06012945,-0.00782461,-0.02497243,-0.03554413,0.02139785,0.00355888,-0.07281560,-0.05020257,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03172904,0.00717718,3.06894183,3.15914130,0.02647854,0.43120006,-0.05769735,0.03022560,0.12381947,-0.00076541,0.05196300,0.03631508,0.00339615,2.47659063,-0.00638984,3.69597363,0.06742093,-0.05289445,0.02406771,0.03280855,0.01804670,0.04989362,0.01134463,0.02186929,-0.00219654,0.00365679,-0.00315184,0.01950537,-0.00613102,0.04307764,0.01598335,0.00992659,0.01881656,-0.00622163,-0.00387624,0.01759809,-0.01055651,-0.03400996,-0.00685445,-0.00197442,-0.04848812,0.02913301,-0.04896451,0.01588204,0.06377970,-0.00690998,-0.02330931,-0.03313706,0.02544480,0.00538909,-0.07327156,-0.04979565,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03267064,0.00791109,2.90211821,3.00592542,0.01797470,0.40812904,-0.05817745,0.03045087,0.12820864,0.00277049,0.05343758,0.03843135,0.00460740,2.29953837,-0.00615611,3.67070103,0.07177088,-0.05251196,0.02470582,0.03551035,0.02064578,0.05171826,0.01227933,0.02298890,-0.00242913,0.00404650,-0.00204132,0.02251495,-0.00528335,0.04619387,0.01758197,0.01029356,0.02001176,-0.00590316,-0.00295711,0.01847049,-0.00979460,-0.03436778,-0.00516166,-0.00058154,-0.04678159,0.02990850,-0.04960371,0.01660220,0.06685514,-0.00640456,-0.02211117,-0.03130758,0.02886800,0.00690024,-0.07386532,-0.04965627,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03353114,0.00862397,2.72411537,2.83803892,0.00870152,0.38461789,-0.05902722,0.03055320,0.13270077,0.00604034,0.05448734,0.04053586,0.00572892,2.11251354,-0.00593257,3.64575958,0.07620308,-0.05216027,0.02521112,0.03797206,0.02291431,0.05330828,0.01310563,0.02396328,-0.00267459,0.00428163,-0.00138465,0.02529643,-0.00462079,0.04919939,0.01874323,0.01018026,0.02094515,-0.00601272,-0.00241902,0.01908251,-0.00953849,-0.03560824,-0.00413288,0.00048564,-0.04524142,0.03040238,-0.05042143,0.01694214,0.06937234,-0.00624580,-0.02138118,-0.03015451,0.03166625,0.00812948,-0.07448794,-0.04970922,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03435966,0.00935455,2.53151584,2.65255928,-0.00105025,0.36105305,-0.06021652,0.03055781,0.13731994,0.00905254,0.05519593,0.04266472,0.00682671,1.91212249,-0.00575324,3.62227106,0.08058284,-0.05180297,0.02559934,0.04019299,0.02488415,0.05473355,0.01384966,0.02474070,-0.00289162,0.00440659,-0.00120178,0.02780027,-0.00410097,0.05211584,0.01951850,0.00968420,0.02170914,-0.00649357,-0.00220512,0.01955310,-0.00973778,-0.03780765,-0.00379122,0.00127328,-0.04386597,0.03068520,-0.05130196,0.01698893,0.07135812,-0.00635125,-0.02106050,-0.02970319,0.03385400,0.00912346,-0.07501563,-0.04984821,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
0.03519786,0.01012102,2.32410169,2.44992280,-0.01097821,0.33784288,-0.06167183,0.03048163,0.14202699,0.01184714,0.05565583,0.04483246,0.00794636,1.69832456,-0.00563615,3.60057211,0.08478437,-0.05142875,0.02587693,0.04217871,0.02661720,0.05604203,0.01451972,0.02529245,-0.00305707,0.00447336,-0.00145401,0.02999728,-0.00369188,0.05493433,0.02000212,0.00893876,0.02236971,-0.00725750,-0.00225239,0.01999214,-0.01030420,-0.04091795,-0.00411825,0.00182702,-0.04264517,0.03084545,-0.05213930,0.01683743,0.07284519,-0.00663509,-0.02105054,-0.02990788,0.03545963,0.00992501,-0.07533500,-0.04996030,REST,8,MALE,HIGH-FLOW,MED-FLOW,MED-FLOW,NO-FLOW2,NO-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,MED,MED,BLANK,BLANK,BLANK,BLANK
