CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark,IDNUM,SEX,TETRIS-FLOW,FLOWGAME-FLOW,COPTER-FLOW,TETRIS-FLOW2,FLOWGAME-FLOW2,COPTER-FLOW2,TETRIS-EXPERTISE,FLOW-EXPERTISE,COPTER-EXPERTISE,TETRIS-OVERESTIMATION,FLOW-OVERESTIMATION,COPTER-OVERESTIMATION,IN-FLOW,IN-FLOW2,EXPERTISE,OVERESTIMATION
-0.00862691,0.00018022,0.00000000,-0.00022828,0.00264345,-0.01388569,-0.01654840,-0.00450727,-0.00683288,-0.00588911,0.00036340,-0.00490861,-0.00584211,-0.02162722,-0.01043780,-0.01112859,-0.03032882,-0.00460883,-0.00214068,0.00000000,0.00096005,-0.00819885,0.00116338,-0.03097763,-0.01946026,-0.00358891,-0.01486965,-0.00262167,0.00000000,0.00000000,-0.00169056,0.00438714,-0.00440215,-0.00684493,-0.02005181,-0.00107237,0.00536692,0.00189730,-0.00224770,-0.00002274,0.00347856,0.00167609,-0.00190468,0.00191955,-0.00834758,-0.00071897,-0.00119188,0.00072214,-0.00036192,-0.00065501,0.00595479,-0.00019614,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.01753351,0.00049383,0.00000000,-0.00062033,0.00551532,-0.02777139,-0.03390639,-0.00979557,-0.01377641,-0.01245235,0.00040509,-0.01010443,-0.01230790,-0.04536517,-0.02223534,-0.02225718,-0.06145953,-0.00996904,-0.00428136,0.00000000,0.00173292,-0.01719486,0.00187567,-0.06251714,-0.03943971,-0.00811242,-0.03109167,-0.00647523,0.00000000,0.00000000,-0.00338112,0.00813891,-0.00934172,-0.01422110,-0.04138526,-0.00269435,0.01011212,0.00295584,-0.00557776,-0.00080727,0.00662705,0.00285200,-0.00480307,0.00366019,-0.01785887,-0.00214736,-0.00303916,0.00125608,-0.00151562,-0.00242480,0.01107085,-0.00079590,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.02619978,0.00077278,0.00000000,-0.00106397,0.00855983,-0.04165708,-0.05135813,-0.01524756,-0.02092938,-0.01881470,0.00074798,-0.01531241,-0.01879244,-0.06842069,-0.03393841,-0.03338577,-0.09243217,-0.01516910,-0.00642204,0.00000000,0.00312379,-0.02601904,0.00260983,-0.09392749,-0.05945091,-0.01271845,-0.04737659,-0.01000512,0.00000000,0.00000000,-0.00507168,0.01231800,-0.01424002,-0.02140356,-0.06280673,-0.00426950,0.01459840,0.00418045,-0.00847437,-0.00148441,0.01018066,0.00442735,-0.00750715,0.00559778,-0.02689131,-0.00322331,-0.00492169,0.00190940,-0.00222294,-0.00394317,0.01613039,-0.00123339,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.03607784,0.00110911,0.00000000,-0.00062694,0.01244808,-0.05554277,-0.07276102,-0.02260318,-0.02880424,-0.02622743,0.00046672,-0.02120531,-0.02639812,-0.09111153,-0.04793842,-0.04451437,-0.12962610,-0.02113496,-0.00856271,0.00000000,0.00563790,-0.03603622,0.00310701,-0.12182019,-0.07535121,-0.01877527,-0.06552038,-0.01538393,0.00000000,0.00000000,-0.00676224,0.01739226,-0.01993102,-0.02941974,-0.08170065,-0.00584195,0.01881315,0.00553680,-0.01169277,-0.00218633,0.01386243,0.00646588,-0.01069903,0.00886888,-0.03643293,-0.00399346,-0.00717254,0.00282296,-0.00242744,-0.00494478,0.02126445,-0.00142317,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.04713375,0.00146899,0.00000000,0.00090328,0.01632526,-0.06942847,-0.09692598,-0.03108214,-0.03735262,-0.03494704,-0.00143934,-0.02752811,-0.03502449,-0.10287339,-0.06362674,-0.05564296,-0.17138454,-0.02773939,-0.01070339,0.00000000,0.00798396,-0.04742784,0.00345846,-0.15156507,-0.09212873,-0.02624980,-0.08589057,-0.02254863,0.00000000,0.00000000,-0.00845280,0.02190323,-0.02630974,-0.03786513,-0.10230719,-0.00776339,0.02210284,0.00652388,-0.01594580,-0.00334777,0.01726319,0.00840465,-0.01507046,0.01312349,-0.04681487,-0.00551360,-0.01031127,0.00347886,-0.00328508,-0.00700672,0.02574645,-0.00215184,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.05886230,0.00168043,0.00000000,0.00077552,0.02026370,-0.08331416,-0.12306724,-0.03953059,-0.04627412,-0.04402019,-0.00332619,-0.03408262,-0.04392217,-0.12587024,-0.07978854,-0.06677154,-0.21713476,-0.03411828,-0.01284407,0.00000000,0.01116417,-0.05887761,0.00405551,-0.18092468,-0.10851195,-0.03440773,-0.10738141,-0.02957062,0.00000000,0.00000000,-0.01014336,0.02762425,-0.03254320,-0.04580704,-0.12288409,-0.00933375,0.02499445,0.00832909,-0.01966683,-0.00385429,0.02113833,0.01108335,-0.01901865,0.01950940,-0.05677968,-0.00634437,-0.01328252,0.00430597,-0.00319813,-0.00824314,0.03061012,-0.00242145,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.07132468,0.00170248,0.00000000,-0.00107428,0.02392417,-0.09719986,-0.15191416,-0.04748985,-0.05549116,-0.05366148,-0.00603852,-0.04096312,-0.05327036,-0.13895002,-0.09690681,-0.07790014,-0.26725626,-0.04058714,-0.01498475,0.00000000,0.01392839,-0.07108794,0.00490033,-0.21078341,-0.12505031,-0.04362033,-0.13041480,-0.03751479,0.00000000,0.00000000,-0.01183392,0.03289858,-0.03901200,-0.05375365,-0.14448152,-0.01134140,0.02723660,0.00994696,-0.02379557,-0.00423603,0.02518082,0.01378131,-0.02345767,0.02663558,-0.06719408,-0.00766402,-0.01683731,0.00487777,-0.00345639,-0.00993456,0.03534353,-0.00314662,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.08337171,0.00175435,0.00000000,-0.00144363,0.02816722,-0.11108555,-0.18116598,-0.05512808,-0.06533071,-0.06343743,-0.00894333,-0.04758858,-0.06224964,-0.16069138,-0.11270080,-0.08902873,-0.31742227,-0.04663396,-0.01712543,0.00000000,0.01676759,-0.08288016,0.00576251,-0.23748215,-0.13837057,-0.05251983,-0.15330967,-0.04412835,0.00000000,0.00000000,-0.01352448,0.03839174,-0.04537259,-0.06124771,-0.16318697,-0.01295226,0.02973320,0.01233372,-0.02711274,-0.00403766,0.02903761,0.01674577,-0.02784356,0.03448479,-0.07727426,-0.00881635,-0.02023612,0.00549766,-0.00338103,-0.01112214,0.04010120,-0.00369987,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.09591944,0.00174380,0.00000000,0.00010009,0.03222256,-0.12497124,-0.21131636,-0.06274571,-0.07532382,-0.07354172,-0.01184500,-0.05438527,-0.07138897,-0.16962202,-0.12884617,-0.10015732,-0.36904103,-0.05278997,-0.01926611,0.00000000,0.01974612,-0.09472376,0.00669584,-0.26569986,-0.15257393,-0.06187940,-0.17674519,-0.05092527,0.00000000,0.00000000,-0.01521504,0.04444467,-0.05197443,-0.06874535,-0.18286251,-0.01450176,0.03206421,0.01513441,-0.03020320,-0.00361499,0.03301397,0.01997666,-0.03210812,0.04253856,-0.08748382,-0.00962767,-0.02335283,0.00631833,-0.00275257,-0.01157446,0.04522328,-0.00403656,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
-0.10857315,0.00186694,0.00000000,0.00103866,0.03642219,-0.13885693,-0.24170581,-0.07055502,-0.08553359,-0.08421110,-0.01552540,-0.06114582,-0.08065228,-0.19193432,-0.14509518,-0.11128592,-0.42054039,-0.05928535,-0.02140679,0.00000000,0.02177332,-0.10696209,0.00746697,-0.29496709,-0.16690038,-0.07125351,-0.20036893,-0.05793974,0.00000000,0.00000000,-0.01690560,0.04954633,-0.05881856,-0.07650302,-0.20301752,-0.01632600,0.03439776,0.01781484,-0.03390971,-0.00355729,0.03646897,0.02265207,-0.03734243,0.05040651,-0.09822664,-0.01117485,-0.02666396,0.00696535,-0.00291252,-0.01285133,0.04982056,-0.00483697,REST,5,MALE,MED-FLOW,HIGH-FLOW,NO-FLOW,HIGH-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,MED,HIGH,HIGH,BLANK,BLANK,BLANK,BLANK
