CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark,IDNUM,SEX,TETRIS-FLOW,FLOWGAME-FLOW,COPTER-FLOW,TETRIS-FLOW2,FLOWGAME-FLOW2,COPTER-FLOW2,TETRIS-EXPERTISE,FLOW-EXPERTISE,COPTER-EXPERTISE,TETRIS-OVERESTIMATION,FLOW-OVERESTIMATION,COPTER-OVERESTIMATION,IN-FLOW,IN-FLOW2,EXPERTISE,OVERESTIMATION
-0.00021472,-0.00137181,-0.00044529,-0.00012707,0.00215093,0.00045158,0.00097938,0.00065609,0.00001346,0.00009821,0.00190383,0.00002040,-0.00179772,-0.00074545,0.00010450,0.00087554,-0.00017167,0.00064621,0.00060879,0.00001212,0.00139361,0.00076134,0.00062810,-0.00060524,-0.00072415,-0.00307532,0.00221265,-0.00069271,0.00019198,0.00032870,0.00062820,0.00435102,0.00000686,0.00122886,0.00058483,0.00180907,-0.00553972,0.00191298,-0.00007385,0.00044170,0.00040751,0.00056160,0.00274870,0.00190697,-0.00022653,0.00158721,0.00212710,0.00193472,0.00067002,0.00287812,0.00063189,0.00046000,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00082107,-0.00296358,-0.00144832,-0.00092799,0.00326879,-0.00046925,0.00071790,0.00105048,-0.00030000,-0.00098562,0.00309840,-0.00019477,-0.00397882,-0.00239832,-0.00055022,0.00063172,-0.00178156,0.00020106,0.00078955,-0.00028716,0.00127005,0.00114184,0.00098638,-0.00179439,-0.00235395,-0.00713618,0.00309664,-0.00287159,-0.00040898,0.00045561,0.00069516,0.00792835,-0.00022049,0.00233794,-0.00034767,0.00215862,-0.01182386,0.00186228,-0.00179899,0.00009417,0.00052810,0.00027706,0.00492610,0.00385151,-0.00245056,0.00121398,0.00254587,0.00220636,-0.00074130,0.00381996,0.00067752,0.00042331,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00097900,-0.00425083,-0.00171965,-0.00093969,0.00541576,0.00015694,0.00197368,0.00170479,-0.00023396,-0.00051446,0.00558230,-0.00022204,-0.00573412,-0.00296084,-0.00038115,0.00090583,-0.00168895,0.00098883,0.00151150,-0.00017167,0.00303527,0.00214435,0.00151521,-0.00234384,-0.00282379,-0.01124466,0.00509988,-0.00319210,0.00008501,0.00079318,0.00134317,0.01247554,-0.00029545,0.00317607,0.00052752,0.00402520,-0.01852333,0.00411413,-0.00149793,0.00069228,0.00082496,0.00120309,0.00772681,0.00572389,-0.00280515,0.00290998,0.00454641,0.00390120,0.00001383,0.00724016,0.00113427,0.00081788,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00146863,-0.00564404,-0.00220648,-0.00097854,0.00702290,-0.00022654,0.00245885,0.00254707,-0.00033337,-0.00084846,0.00797226,-0.00027285,-0.00757682,-0.00363810,-0.00040495,0.00068239,-0.00256200,0.00135688,0.00218261,-0.00005146,0.00379977,0.00301623,0.00202887,-0.00303296,-0.00332326,-0.01544842,0.00662862,-0.00415697,0.00037930,0.00126755,0.00184636,0.01657423,-0.00036675,0.00419851,0.00083045,0.00534576,-0.02505860,0.00543899,-0.00194967,0.00122541,0.00111486,0.00170004,0.01024816,0.00796536,-0.00442316,0.00365723,0.00572352,0.00483991,-0.00006727,0.00957874,0.00170823,0.00107319,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00248967,-0.00710279,-0.00286794,-0.00129439,0.00795145,-0.00128143,0.00242894,0.00316502,-0.00087934,-0.00182626,0.01004153,-0.00042643,-0.00965099,-0.00466235,-0.00104656,-0.00062726,-0.00410462,0.00127071,0.00269689,-0.00035299,0.00427674,0.00358720,0.00238924,-0.00395566,-0.00432876,-0.02060581,0.00712701,-0.00559602,0.00043265,0.00156106,0.00184416,0.02025141,-0.00065941,0.00495628,0.00056641,0.00581840,-0.03219664,0.00566201,-0.00281099,0.00144188,0.00115720,0.00176355,0.01224502,0.00980980,-0.00662318,0.00380023,0.00601320,0.00481387,-0.00064534,0.01132089,0.00194687,0.00101702,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00313595,-0.00838013,-0.00313100,-0.00080613,0.00977837,-0.00137962,0.00349471,0.00425262,-0.00120668,-0.00222007,0.01302990,-0.00030992,-0.01133006,-0.00487914,-0.00083908,-0.00142990,-0.00457243,0.00212743,0.00350695,-0.00027626,0.00560759,0.00458026,0.00304146,-0.00431549,-0.00435327,-0.02527684,0.00852725,-0.00593624,0.00114635,0.00219658,0.00228790,0.02437337,-0.00069910,0.00597657,0.00156116,0.00777995,-0.03875923,0.00761744,-0.00254089,0.00246413,0.00143811,0.00238712,0.01450147,0.01201566,-0.00794849,0.00549664,0.00767746,0.00597463,0.00058440,0.01427161,0.00274293,0.00142045,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00425383,-0.00982957,-0.00382334,-0.00057527,0.01087124,-0.00265002,0.00352606,0.00531091,-0.00193717,-0.00385011,0.01546112,-0.00025406,-0.01334828,-0.00573547,-0.00114341,-0.00301503,-0.00626903,0.00216464,0.00406418,-0.00049262,0.00558583,0.00513943,0.00356181,-0.00520379,-0.00498882,-0.03026536,0.00896296,-0.00749713,0.00121890,0.00279350,0.00227138,0.02748231,-0.00084906,0.00709678,0.00141420,0.00875692,-0.04510105,0.00802354,-0.00357644,0.00308915,0.00161740,0.00220344,0.01613231,0.01429916,-0.01090261,0.00584083,0.00822524,0.00607944,0.00052898,0.01551960,0.00337964,0.00156873,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00517657,-0.01113218,-0.00414977,0.00023807,0.01277280,-0.00268728,0.00485249,0.00646397,-0.00255017,-0.00456923,0.01853594,-0.00003340,-0.01525674,-0.00602261,-0.00098027,-0.00448994,-0.00668757,0.00304331,0.00486748,-0.00065697,0.00695770,0.00588320,0.00415760,-0.00577656,-0.00515704,-0.03534434,0.00989217,-0.00789247,0.00193364,0.00346765,0.00240153,0.03103445,-0.00094683,0.00788717,0.00247607,0.01084658,-0.05140843,0.00985693,-0.00319592,0.00411852,0.00187617,0.00258683,0.01776863,0.01625044,-0.01226710,0.00796201,0.01008862,0.00719152,0.00247214,0.01832225,0.00411466,0.00190308,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00591147,-0.01246548,-0.00456637,0.00099418,0.01447985,-0.00341954,0.00559119,0.00772611,-0.00307191,-0.00570120,0.02142177,0.00024552,-0.01711868,-0.00661403,-0.00058343,-0.00582712,-0.00778722,0.00355151,0.00547784,-0.00079042,0.00754464,0.00667694,0.00477111,-0.00647536,-0.00546095,-0.04006652,0.01076663,-0.00877068,0.00232831,0.00401386,0.00239988,0.03422819,-0.00092794,0.00878201,0.00295543,0.01288107,-0.05764680,0.01135551,-0.00356361,0.00478819,0.00207046,0.00262527,0.01924640,0.01844593,-0.01453056,0.00919076,0.01186069,0.00797871,0.00351909,0.02035204,0.00460724,0.00210871,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
-0.00729535,-0.01404262,-0.00551460,0.00113999,0.01524692,-0.00538691,0.00520125,0.00869175,-0.00414389,-0.00809991,0.02340479,0.00031895,-0.01950560,-0.00815256,-0.00106493,-0.00827881,-0.01022317,0.00299286,0.00566086,-0.00146524,0.00675394,0.00678899,0.00510767,-0.00788330,-0.00683987,-0.04562173,0.01019866,-0.01119666,0.00179907,0.00433421,0.00172787,0.03638661,-0.00119706,0.00946659,0.00201938,0.01342467,-0.06402364,0.01077699,-0.00544949,0.00476670,0.00199285,0.00154252,0.01981878,0.02037620,-0.01831315,0.00884354,0.01215356,0.00745553,0.00281858,0.02058171,0.00461953,0.00177526,REST,13,MALE,NO-FLOW,HIGH-FLOW,NO-FLOW,NO-FLOW2,HIGH-FLOW2,NO-FLOW2,EXPERT,NOVICE,EXPERT,HIGH,LOW,LOW,BLANK,BLANK,BLANK,BLANK
